text,label
me encanta este producto es excelente,positivo
el servicio fue maravilloso y muy rapido,positivo
estoy muy feliz con mi compra,positivo
la pelicula fue fantastica la recomiendo,positivo
que gran experiencia volvere sin duda,positivo
el restaurante tiene una comida deliciosa,positivo
funciona perfecto estoy encantado,positivo
una atencion increible muy amables todos,positivo
el mejor curso que he tomado en mi vida,positivo
calidad excelente a buen precio,positivo
me ha gustado mucho lo recomiendo totalmente,positivo
super contento con el resultado final,positivo
el hotel era limpio comodo y bonito,positivo
todo salio genial gracias por la ayuda,positivo
es un producto fabuloso y muy util,positivo
disfrute cada momento fue espectacular,positivo
la entrega fue rapida y sin problemas,positivo
estoy satisfecho con la atencion recibida,positivo
buenisimo lo volveria a comprar,positivo
me sorprendio gratamente la calidad,positivo
excelente trabajo muy profesional,positivo
la app es intuitiva y funciona de maravilla,positivo
gran sabor y porciones generosas,positivo
me siento muy agradecido y feliz,positivo
una maravilla de lugar lo amo,positivo
el soporte tecnico resolvio todo enseguida,positivo
increiblemente bueno superó mis expectativas,positivo
que bonito detalle me alegro el dia,positivo
los actores estuvieron brillantes,positivo
recomendado al cien por ciento,positivo
muy comodo y facil de usar,positivo
el paquete llego en perfecto estado,positivo
fantastico servicio al cliente,positivo
me dejaron sin palabras de lo bueno,positivo
vale cada centavo totalmente,positivo
la experiencia fue inolvidable y hermosa,positivo
estoy fascinado con los resultados,positivo
todo perfecto sin ninguna queja,positivo
un equipo amable y eficiente,positivo
el diseño es precioso y elegante,positivo
odio este producto es terrible,negativo
el servicio fue pesimo y muy lento,negativo
estoy muy decepcionado con mi compra,negativo
la pelicula fue aburrida y mala,negativo
que mala experiencia no volvere jamas,negativo
el restaurante tiene una comida horrible,negativo
no funciona estoy furioso,negativo
una atencion penosa muy groseros todos,negativo
el peor curso que he tomado en mi vida,negativo
calidad pesima y muy caro,negativo
no me ha gustado nada lo desaconsejo,negativo
super molesto con el resultado final,negativo
el hotel era sucio incomodo y feo,negativo
todo salio fatal una perdida de tiempo,negativo
es un producto defectuoso e inutil,negativo
sufri cada momento fue espantoso,negativo
la entrega fue lentisima y con problemas,negativo
estoy insatisfecho con la atencion recibida,negativo
malisimo no lo comprare nunca mas,negativo
me decepciono enormemente la calidad,negativo
pesimo trabajo nada profesional,negativo
la app es confusa y se cuelga siempre,negativo
mal sabor y porciones diminutas,negativo
me siento estafado y enojado,negativo
un desastre de lugar lo detesto,negativo
el soporte tecnico no resolvio nada,negativo
increiblemente malo no cumplio nada,negativo
que feo detalle me arruino el dia,negativo
los actores estuvieron pesimos,negativo
no recomendado para nada,negativo
muy incomodo y dificil de usar,negativo
el paquete llego roto y dañado,negativo
horrible servicio al cliente,negativo
me dejaron indignado de lo malo,negativo
no vale ni un centavo,negativo
la experiencia fue olvidable y desagradable,negativo
estoy harto de los problemas,negativo
todo mal una queja tras otra,negativo
un equipo grosero e ineficiente,negativo
el diseño es horrible y anticuado,negativo
el producto es bueno pero la entrega tardo,positivo
buena relacion calidad precio en general,positivo
cumplio con lo que esperaba estoy contento,positivo
realmente util y bien hecho,positivo
me encanto la atencion personalizada,positivo
funciona bien y es muy practico,positivo
gran calidad lo recomiendo a todos,positivo
servicio rapido y amable felicidades,positivo
quede muy satisfecho con la compra,positivo
excelente en todos los aspectos,positivo
una porqueria no sirve para nada,negativo
perdi mi dinero que frustracion,negativo
nunca mas compro aqui que decepcion,negativo
llego tarde y encima roto,negativo
pesima calidad se rompio enseguida,negativo
trato horrible me senti ignorado,negativo
no lo recomiendo es una basura,negativo
muy malo se descompuso al primer uso,negativo
quede totalmente insatisfecho,negativo
terrible en todos los aspectos,negativo
